ticker,company_name,rows,date_min,date_max,sources,rich_csv,sentiment_csv
1155.KL,Maybank,5375,2023-01-02,2025-12-31,1,data/company_news/top10_2023_2025/1155_KL_maybank_rich.csv,data/company_news/top10_2023_2025/1155_KL_maybank_for_sentiment.csv
1023.KL,CIMB,5132,2023-01-02,2025-12-31,1,data/company_news/top10_2023_2025/1023_KL_cimb_rich.csv,data/company_news/top10_2023_2025/1023_KL_cimb_for_sentiment.csv
5347.KL,Tenaga,4222,2023-01-03,2025-12-31,1,data/company_news/top10_2023_2025/5347_KL_tenaga_rich.csv,data/company_news/top10_2023_2025/5347_KL_tenaga_for_sentiment.csv
1295.KL,Public Bank,3483,2023-01-02,2025-12-31,1,data/company_news/top10_2023_2025/1295_KL_public_bank_rich.csv,data/company_news/top10_2023_2025/1295_KL_public_bank_for_sentiment.csv
1066.KL,RHB,3246,2023-01-02,2025-12-31,1,data/company_news/top10_2023_2025/1066_KL_rhb_rich.csv,data/company_news/top10_2023_2025/1066_KL_rhb_for_sentiment.csv
5211.KL,Sunway,1671,2023-01-02,2025-12-31,1,data/company_news/top10_2023_2025/5211_KL_sunway_rich.csv,data/company_news/top10_2023_2025/5211_KL_sunway_for_sentiment.csv
5398.KL,Gamuda,1219,2023-01-03,2025-12-30,1,data/company_news/top10_2023_2025/5398_KL_gamuda_rich.csv,data/company_news/top10_2023_2025/5398_KL_gamuda_for_sentiment.csv
1015.KL,AMMB,915,2023-01-02,2025-12-31,1,data/company_news/top10_2023_2025/1015_KL_ammb_rich.csv,data/company_news/top10_2023_2025/1015_KL_ammb_for_sentiment.csv
5285.KL,SD Guthrie,652,2023-01-02,2025-12-31,1,data/company_news/top10_2023_2025/5285_KL_sd_guthrie_rich.csv,data/company_news/top10_2023_2025/5285_KL_sd_guthrie_for_sentiment.csv
8869.KL,Press Metal,610,2023-01-10,2025-12-31,1,data/company_news/top10_2023_2025/8869_KL_press_metal_rich.csv,data/company_news/top10_2023_2025/8869_KL_press_metal_for_sentiment.csv
