source,category,url,title,date,body
malaysiakini_news,news,https://www.malaysiakini.com/news/768328,"'Focus on unity', PM sidesteps questions on Rafizi",,"Speaking to reporters at Wisma MCA, Anwar, who is also PKR president, instead urged that focus be given to unity in the spirit of the day’s celebrations...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768332,"Takiyuddin: PN to hold meeting on Feb 22, decide on new PN chief",,"PN deputy secretary-general Takiyuddin Hassan said leaders of the four component parties will convene at 3pm, following the conclusion of a PAS supreme council meeting...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768335,Gerakan has 4 criteria for next PN chair - Lau,,"Primarily, Lau (above) said the individual chosen must not only be acceptable to all four PN component parties - Gerakan, Bersatu, PAS, and the Malaysian Indian People's Party (MIPP) - but also enjoy support across all segments of the society...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768337,"PM calls for KLSCAH conservation, heritage recognition",,"He said this is to facilitate the requirements for the building to be recognised as a historic building and national heritage.
As such, he asked the Minister in the Prime Minister's Department (Federal Territories) Hannah Yeoh to coordinate the...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768341,PAS backs Hamzah to 'get at' Muhyiddin - analysts,,"Political analyst Azmi Hassan from the Nusantara Strategic Research Academy said PAS’ current stance could be linked to the political crisis in Perlis.
In that episode, he said, PAS blamed Bersatu for...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768342,Cops suspect financial difficulties behind murder of 5,,"Pahang police chief Yahaya Othman said the case is still under investigation under Section 302 of the Penal Code...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768343,Exco denies data centres caused water supply issues at select areas,,"State Work, Transport, Infrastructure and Communications committee chairperson Fazli Salleh said no data centres receive water supply in Simpang Renggam and Benut, adding that the areas are not locations for such facility developments...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768346,"MACC probe against me a form of 'intimidation', says Rafizi",,"Rafizi said MACC had “suddenly become active” in probing allegations of misconduct and corruption during his tenure as economy minister, centring on two major national policies - the Silicon Vision Programme and the National Energy Transition Roadmap (NETR)...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768349,"Pre-rally arrests: Lawyer lodges police report, warns civil suit against govt",,"He said this following the police’s decision to disallow and halt the Gerakan Anti-Rumah Anutan Haram (Garah) rally, initially scheduled to take place in front of the Sogo Shopping Complex on Feb 7, and the subsequent detention of 20 individuals before the event began...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768351,PAS denies 'targeting' Muhyiddin with 'welcome' for Hamzah,,"Speaking to Malaysiakini, Tuan Ibrahim instead reiterated the party’s stance that it has never interfered in Bersatu’s affairs.
Contrary to claims by political analyst Azmi Hassan of the Nusantara Strategic Research Academy, Tuan Ibrahim said the turmoil within Bersatu was not...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768356,Experts: Hamzah's fate lies on ability to retain opposition chief post,,"As the factional fire within Bersatu continues, sacked deputy president Hamzah Zainudin’s vision to launch a new political movement could face its first test in Parliament.
The Larut MP, who so far remains as parliamentary opposition leader, has claimed the support of 19 out of 25 Bersatu MPs, led by the party’s parliamentary whip, Beluran MP Ronald Kiandee.
Bersih executive director Asraf Sharafi said...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
